fold,train_start,train_end,test_start,test_end,n_train,n_test,test_window_size,mae,rmse,mape,r2,model
38,2024-01-01 00:00:00+00:00,2025-11-28 13:00:00+00:00,2025-11-28 14:00:00+00:00,2025-12-05 13:00:00+00:00,16742,168,168,452128.1411696429,581778.9778413214,39.32722953214216,-0.3087487239567679,seasonal_naive_lag_24
39,2024-01-01 00:00:00+00:00,2025-12-05 13:00:00+00:00,2025-12-05 14:00:00+00:00,2025-12-12 13:00:00+00:00,16910,168,168,645685.5499970238,802715.6089974426,73.84282720937789,-1.0821063968452784,seasonal_naive_lag_24
40,2024-01-01 00:00:00+00:00,2025-12-12 13:00:00+00:00,2025-12-12 14:00:00+00:00,2025-12-19 13:00:00+00:00,17078,168,168,719377.7257202382,885223.0891946395,71.28497313232279,-1.6947563613384324,seasonal_naive_lag_24
41,2024-01-01 00:00:00+00:00,2025-12-19 13:00:00+00:00,2025-12-19 14:00:00+00:00,2025-12-26 13:00:00+00:00,17246,168,168,401421.1743630952,490879.78952292044,47.89226704613415,-1.4723948614691484,seasonal_naive_lag_24
1,2024-01-01 00:00:00+00:00,2025-03-14 13:00:00+00:00,2025-03-14 14:00:00+00:00,2025-03-21 13:00:00+00:00,10525,168,168,63075.86073004306,86261.0872013461,5.449979369254417,0.9885254219883326,ridge
2,2024-01-01 00:00:00+00:00,2025-03-21 13:00:00+00:00,2025-03-21 14:00:00+00:00,2025-03-28 13:00:00+00:00,10693,168,168,63628.209379721164,84153.65651659378,6.0505386682461335,0.9837680629920882,ridge
3,2024-01-01 00:00:00+00:00,2025-03-28 13:00:00+00:00,2025-03-28 14:00:00+00:00,2025-04-04 13:00:00+00:00,10861,168,168,86923.11665571321,148282.38692754335,7.115805651304032,0.9478061369803968,ridge
4,2024-01-01 00:00:00+00:00,2025-04-04 13:00:00+00:00,2025-04-04 14:00:00+00:00,2025-04-11 13:00:00+00:00,11029,168,168,58141.70430776923,72274.32279471487,6.66871021470284,0.9686694479975989,ridge
5,2024-01-01 00:00:00+00:00,2025-04-11 13:00:00+00:00,2025-04-11 14:00:00+00:00,2025-04-18 13:00:00+00:00,11197,168,168,69572.3511605589,96569.23970941709,6.342197824670118,0.9727159011360467,ridge
6,2024-01-01 00:00:00+00:00,2025-04-18 13:00:00+00:00,2025-04-18 14:00:00+00:00,2025-04-25 13:00:00+00:00,11365,168,168,50157.89335921362,66531.33624875991,5.30931929370656,0.9905627403336288,ridge
7,2024-01-01 00:00:00+00:00,2025-04-25 13:00:00+00:00,2025-04-25 14:00:00+00:00,2025-05-02 13:00:00+00:00,11533,168,168,82742.11204392885,122152.71273145512,22.746832366020012,0.9346463495055257,ridge
8,2024-01-01 00:00:00+00:00,2025-05-02 13:00:00+00:00,2025-05-02 14:00:00+00:00,2025-05-09 13:00:00+00:00,11701,168,168,51451.11966449538,68950.73499175064,6.26852673666323,0.9720848004435279,ridge
9,2024-01-01 00:00:00+00:00,2025-05-09 13:00:00+00:00,2025-05-09 14:00:00+00:00,2025-05-16 13:00:00+00:00,11869,168,168,58797.34315434065,73492.88480423174,6.811394611191098,0.926633393354077,ridge
10,2024-01-01 00:00:00+00:00,2025-05-16 13:00:00+00:00,2025-05-16 14:00:00+00:00,2025-05-23 13:00:00+00:00,12037,168,168,44901.05916787978,59221.183613697554,6.235752429073521,0.9470865502662134,ridge
11,2024-01-01 00:00:00+00:00,2025-05-23 13:00:00+00:00,2025-05-23 14:00:00+00:00,2025-05-30 13:00:00+00:00,12205,168,168,34676.89899574227,44429.70432109346,6.401174283380581,0.9133149004933976,ridge
12,2024-01-01 00:00:00+00:00,2025-05-30 13:00:00+00:00,2025-05-30 14:00:00+00:00,2025-06-06 13:00:00+00:00,12373,168,168,53212.291949630315,68273.0682909834,7.309811919089718,0.9474845419602416,ridge
