fold,train_start,train_end,test_start,test_end,n_train,n_test,test_window_size,mae,rmse,mape,r2,model
37,2024-01-01 00:00:00+00:00,2025-11-21 13:00:00+00:00,2025-11-21 14:00:00+00:00,2025-11-28 13:00:00+00:00,16549,168,168,60138.678415198476,74703.54021167383,3.56999174910649,0.935532626731661,ridge
38,2024-01-01 00:00:00+00:00,2025-11-28 13:00:00+00:00,2025-11-28 14:00:00+00:00,2025-12-05 13:00:00+00:00,16717,168,168,58846.94487933446,73006.60956241633,3.530515406035253,0.9503083731781313,ridge
39,2024-01-01 00:00:00+00:00,2025-12-05 13:00:00+00:00,2025-12-05 14:00:00+00:00,2025-12-12 13:00:00+00:00,16885,168,168,58448.09326991771,74515.24588885988,3.5873889550413,0.9430871352905842,ridge
40,2024-01-01 00:00:00+00:00,2025-12-12 13:00:00+00:00,2025-12-12 14:00:00+00:00,2025-12-19 13:00:00+00:00,17053,168,168,71176.22380947054,94001.01810279126,4.096575572735609,0.9229336895319173,ridge
41,2024-01-01 00:00:00+00:00,2025-12-19 13:00:00+00:00,2025-12-19 14:00:00+00:00,2025-12-26 13:00:00+00:00,17221,168,168,76016.56454882845,94297.3201514353,4.901408201224572,0.9064720193103801,ridge
1,2024-01-01 00:00:00+00:00,2025-03-14 13:00:00+00:00,2025-03-14 14:00:00+00:00,2025-03-21 13:00:00+00:00,10525,168,168,55463.884796324,69622.95948248463,3.4638139758491358,0.9383082489336825,lasso
2,2024-01-01 00:00:00+00:00,2025-03-21 13:00:00+00:00,2025-03-21 14:00:00+00:00,2025-03-28 13:00:00+00:00,10693,168,168,56198.17396287819,68461.62513034604,3.5297083056036507,0.9231433843944048,lasso
3,2024-01-01 00:00:00+00:00,2025-03-28 13:00:00+00:00,2025-03-28 14:00:00+00:00,2025-04-04 13:00:00+00:00,10861,168,168,70365.4961536877,97657.76385926675,5.379398821429288,0.8315600106421913,lasso
4,2024-01-01 00:00:00+00:00,2025-04-04 13:00:00+00:00,2025-04-04 14:00:00+00:00,2025-04-11 13:00:00+00:00,11029,168,168,48538.99940347875,59113.1420118287,3.404082481110244,0.916082212336799,lasso
5,2024-01-01 00:00:00+00:00,2025-04-11 13:00:00+00:00,2025-04-11 14:00:00+00:00,2025-04-18 13:00:00+00:00,11197,168,168,49623.872531523564,61086.97387417375,3.436645215370486,0.9356916919408745,lasso
6,2024-01-01 00:00:00+00:00,2025-04-18 13:00:00+00:00,2025-04-18 14:00:00+00:00,2025-04-25 13:00:00+00:00,11365,168,168,52036.65249330987,63238.595833517546,3.748544089463947,0.9029229623397018,lasso
7,2024-01-01 00:00:00+00:00,2025-04-25 13:00:00+00:00,2025-04-25 14:00:00+00:00,2025-05-02 13:00:00+00:00,11533,168,168,106917.63847814314,186627.76599874455,106.32034596336536,0.7069501420808584,lasso
8,2024-01-01 00:00:00+00:00,2025-05-02 13:00:00+00:00,2025-05-02 14:00:00+00:00,2025-05-09 13:00:00+00:00,11701,168,168,65399.271996148374,98297.27054970073,4.652631050306217,0.7258528812807429,lasso
9,2024-01-01 00:00:00+00:00,2025-05-09 13:00:00+00:00,2025-05-09 14:00:00+00:00,2025-05-16 13:00:00+00:00,11869,168,168,41612.80577383251,51985.39335147698,2.992244783152416,0.9275856010842096,lasso
10,2024-01-01 00:00:00+00:00,2025-05-16 13:00:00+00:00,2025-05-16 14:00:00+00:00,2025-05-23 13:00:00+00:00,12037,168,168,39967.30290892055,49828.817095498074,2.90645281207734,0.9223414448767511,lasso
11,2024-01-01 00:00:00+00:00,2025-05-23 13:00:00+00:00,2025-05-23 14:00:00+00:00,2025-05-30 13:00:00+00:00,12205,168,168,38157.53819620898,48017.68353800884,2.720485542433243,0.940873507978884,lasso
12,2024-01-01 00:00:00+00:00,2025-05-30 13:00:00+00:00,2025-05-30 14:00:00+00:00,2025-06-06 13:00:00+00:00,12373,168,168,36341.49655293333,45926.487438780576,2.552843701182984,0.934822459948422,lasso
13,2024-01-01 00:00:00+00:00,2025-06-06 13:00:00+00:00,2025-06-06 14:00:00+00:00,2025-06-13 13:00:00+00:00,12541,168,168,45062.174733861546,55069.08277017484,3.2778195771809746,0.9167396455946445,lasso
14,2024-01-01 00:00:00+00:00,2025-06-13 13:00:00+00:00,2025-06-13 14:00:00+00:00,2025-06-20 13:00:00+00:00,12709,168,168,48996.261704804165,61403.73702825052,3.405218353262265,0.9228178085011667,lasso
15,2024-01-01 00:00:00+00:00,2025-06-20 13:00:00+00:00,2025-06-20 14:00:00+00:00,2025-06-27 13:00:00+00:00,12877,168,168,43995.14365829638,54661.70099181226,3.0486527027018537,0.9265475336056214,lasso
16,2024-01-01 00:00:00+00:00,2025-06-27 13:00:00+00:00,2025-06-27 14:00:00+00:00,2025-07-04 13:00:00+00:00,13045,168,168,45117.78914541866,57426.036962000195,2.8274911889046184,0.9315145800713329,lasso
17,2024-01-01 00:00:00+00:00,2025-07-04 13:00:00+00:00,2025-07-04 14:00:00+00:00,2025-07-11 13:00:00+00:00,13213,168,168,39223.433681477836,48810.05983440133,2.566434667084103,0.9425044542912705,lasso
18,2024-01-01 00:00:00+00:00,2025-07-11 13:00:00+00:00,2025-07-11 14:00:00+00:00,2025-07-18 13:00:00+00:00,13381,168,168,40301.50976051872,50025.384297357035,2.7859859964201936,0.9374712947534216,lasso
19,2024-01-01 00:00:00+00:00,2025-07-18 13:00:00+00:00,2025-07-18 14:00:00+00:00,2025-07-25 13:00:00+00:00,13549,168,168,37574.5544605702,45515.26334451674,2.6464590972816864,0.9409487740170195,lasso
20,2024-01-01 00:00:00+00:00,2025-07-25 13:00:00+00:00,2025-07-25 14:00:00+00:00,2025-08-01 13:00:00+00:00,13717,168,168,41601.734204904256,51866.255825566324,2.6960498625560976,0.9476545354924462,lasso
21,2024-01-01 00:00:00+00:00,2025-08-01 13:00:00+00:00,2025-08-01 14:00:00+00:00,2025-08-08 13:00:00+00:00,13885,168,168,44318.46581764335,54180.94840029767,2.9006527723595092,0.9338653162964472,lasso
22,2024-01-01 00:00:00+00:00,2025-08-08 13:00:00+00:00,2025-08-08 14:00:00+00:00,2025-08-15 13:00:00+00:00,14053,168,168,37845.06950326647,46940.937718871035,2.6157183184241197,0.9536599006510168,lasso
23,2024-01-01 00:00:00+00:00,2025-08-15 13:00:00+00:00,2025-08-15 14:00:00+00:00,2025-08-22 13:00:00+00:00,14221,168,168,45365.65858555284,54195.09188969941,3.3306491923419084,0.882418652810984,lasso
24,2024-01-01 00:00:00+00:00,2025-08-22 13:00:00+00:00,2025-08-22 14:00:00+00:00,2025-08-29 13:00:00+00:00,14389,168,168,35640.800545174476,43071.628533819916,2.604700664239639,0.9359413258143148,lasso
25,2024-01-01 00:00:00+00:00,2025-08-29 13:00:00+00:00,2025-08-29 14:00:00+00:00,2025-09-05 13:00:00+00:00,14557,168,168,38961.1603450894,47941.579079353425,2.7095296106664675,0.9362195748692606,lasso
26,2024-01-01 00:00:00+00:00,2025-09-05 13:00:00+00:00,2025-09-05 14:00:00+00:00,2025-09-12 13:00:00+00:00,14725,168,168,39659.117804364985,48328.9846577572,2.7408980557805402,0.9396472651209111,lasso
27,2024-01-01 00:00:00+00:00,2025-09-12 13:00:00+00:00,2025-09-12 14:00:00+00:00,2025-09-19 13:00:00+00:00,14893,168,168,43244.39558180622,53419.38642449458,2.92039080029067,0.9368226383329228,lasso
28,2024-01-01 00:00:00+00:00,2025-09-19 13:00:00+00:00,2025-09-19 14:00:00+00:00,2025-09-26 13:00:00+00:00,15061,168,168,43355.46479483243,52110.538718173666,3.039120546923561,0.9301494426936276,lasso
29,2024-01-01 00:00:00+00:00,2025-09-26 13:00:00+00:00,2025-09-26 14:00:00+00:00,2025-10-03 13:00:00+00:00,15229,168,168,41094.86919417667,51474.108782252006,2.8409556235828233,0.9276592490898611,lasso
30,2024-01-01 00:00:00+00:00,2025-10-03 13:00:00+00:00,2025-10-03 14:00:00+00:00,2025-10-10 13:00:00+00:00,15397,168,168,48290.17713451452,58343.497332546925,3.554881844818506,0.9346085614196415,lasso
31,2024-01-01 00:00:00+00:00,2025-10-10 13:00:00+00:00,2025-10-10 14:00:00+00:00,2025-10-17 13:00:00+00:00,15565,145,168,50255.14055305694,62361.00508996186,3.603261739827995,0.9257541012545707,lasso
32,2024-01-01 00:00:00+00:00,2025-10-17 13:00:00+00:00,2025-10-17 14:00:00+00:00,2025-10-24 13:00:00+00:00,15710,168,168,48852.49354121029,60584.83522578074,3.532170822631555,0.9356966039752603,lasso
33,2024-01-01 00:00:00+00:00,2025-10-24 13:00:00+00:00,2025-10-24 14:00:00+00:00,2025-10-31 13:00:00+00:00,15878,167,168,37414.07713329654,48674.84084066759,2.627927651513039,0.9599931430403268,lasso
34,2024-01-01 00:00:00+00:00,2025-10-31 13:00:00+00:00,2025-10-31 14:00:00+00:00,2025-11-07 13:00:00+00:00,16045,168,168,46670.49308378358,58860.63206428085,3.1860583867602466,0.9497751188998917,lasso
35,2024-01-01 00:00:00+00:00,2025-11-07 13:00:00+00:00,2025-11-07 14:00:00+00:00,2025-11-14 13:00:00+00:00,16213,168,168,51368.83913672381,63689.94879574238,3.3791547296815367,0.9509813125363009,lasso
36,2024-01-01 00:00:00+00:00,2025-11-14 13:00:00+00:00,2025-11-14 14:00:00+00:00,2025-11-21 13:00:00+00:00,16381,168,168,50851.63663835532,62883.44786439587,3.2741195096932034,0.947723176064264,lasso
